"","fiscal_period","region_product","sales_vol","year","month","apac","emea","la","na","fchem","fpoly","fchem_product","fpoly_product","pfa","region_code","region","value_to_USD","demand","Price"
"1","2015P07","sales_vol_fchem_apac",4397919.46,2015,7,"1","0","0","0",1,0,4397919.46,0,"0","[1,0,0]","apac",123.265726,8.9,NA
"2","2015P07","sales_vol_fchem_apac",4397919.46,2015,7,"1","0","0","0",1,0,4397919.46,0,"0","[1,0,0]","apac",123.265726,39.22,NA
"3","2015P07","sales_vol_fchem_apac",4397919.46,2015,7,"1","0","0","0",1,0,4397919.46,0,"0","[1,0,0]","apac",123.265726,15.15,NA
"4","2015P07","sales_vol_fchem_apac",4397919.46,2015,7,"1","0","0","0",1,0,4397919.46,0,"0","[1,0,0]","apac",123.265726,1.1,NA
"5","2015P08","sales_vol_fchem_apac",4812213.4,2015,8,"1","0","0","0",1,0,4812213.4,0,"0","[1,0,0]","apac",123.214161,8.9,NA
"6","2015P08","sales_vol_fchem_apac",4812213.4,2015,8,"1","0","0","0",1,0,4812213.4,0,"0","[1,0,0]","apac",123.214161,39.22,NA
"7","2015P08","sales_vol_fchem_apac",4812213.4,2015,8,"1","0","0","0",1,0,4812213.4,0,"0","[1,0,0]","apac",123.214161,15.15,NA
"8","2015P08","sales_vol_fchem_apac",4812213.4,2015,8,"1","0","0","0",1,0,4812213.4,0,"0","[1,0,0]","apac",123.214161,1.1,NA
"9","2015P09","sales_vol_fchem_apac",3940076.06,2015,9,"1","0","0","0",1,0,3940076.06,0,"0","[1,0,0]","apac",120.1415,8.9,NA
"10","2015P09","sales_vol_fchem_apac",3940076.06,2015,9,"1","0","0","0",1,0,3940076.06,0,"0","[1,0,0]","apac",120.1415,39.22,NA
"11","2015P09","sales_vol_fchem_apac",3940076.06,2015,9,"1","0","0","0",1,0,3940076.06,0,"0","[1,0,0]","apac",120.1415,15.15,NA
"12","2015P09","sales_vol_fchem_apac",3940076.06,2015,9,"1","0","0","0",1,0,3940076.06,0,"0","[1,0,0]","apac",120.1415,1.1,NA
"13","2015P10","sales_vol_fchem_apac",4643721.7,2015,10,"1","0","0","0",1,0,4643721.7,0,"0","[1,0,0]","apac",120.136258,8.9,NA
"14","2015P10","sales_vol_fchem_apac",4643721.7,2015,10,"1","0","0","0",1,0,4643721.7,0,"0","[1,0,0]","apac",120.136258,39.22,NA
"15","2015P10","sales_vol_fchem_apac",4643721.7,2015,10,"1","0","0","0",1,0,4643721.7,0,"0","[1,0,0]","apac",120.136258,15.15,NA
"16","2015P10","sales_vol_fchem_apac",4643721.7,2015,10,"1","0","0","0",1,0,4643721.7,0,"0","[1,0,0]","apac",120.136258,1.1,NA
"17","2015P11","sales_vol_fchem_apac",5096386.14,2015,11,"1","0","0","0",1,0,5096386.14,0,"0","[1,0,0]","apac",122.555467,8.9,NA
"18","2015P11","sales_vol_fchem_apac",5096386.14,2015,11,"1","0","0","0",1,0,5096386.14,0,"0","[1,0,0]","apac",122.555467,39.22,NA
"19","2015P11","sales_vol_fchem_apac",5096386.14,2015,11,"1","0","0","0",1,0,5096386.14,0,"0","[1,0,0]","apac",122.555467,15.15,NA
"20","2015P11","sales_vol_fchem_apac",5096386.14,2015,11,"1","0","0","0",1,0,5096386.14,0,"0","[1,0,0]","apac",122.555467,1.1,NA
"21","2015P12","sales_vol_fchem_apac",5264943.68,2015,12,"1","0","0","0",1,0,5264943.68,0,"0","[1,0,0]","apac",121.61779,8.9,NA
"22","2015P12","sales_vol_fchem_apac",5264943.68,2015,12,"1","0","0","0",1,0,5264943.68,0,"0","[1,0,0]","apac",121.61779,39.22,NA
"23","2015P12","sales_vol_fchem_apac",5264943.68,2015,12,"1","0","0","0",1,0,5264943.68,0,"0","[1,0,0]","apac",121.61779,15.15,NA
"24","2015P12","sales_vol_fchem_apac",5264943.68,2015,12,"1","0","0","0",1,0,5264943.68,0,"0","[1,0,0]","apac",121.61779,1.1,NA
"25","2016P01","sales_vol_fchem_apac",4543686.78,2016,1,"1","0","0","0",1,0,4543686.78,0,"0","[1,0,0]","apac",118.457194,9.15,NA
"26","2016P01","sales_vol_fchem_apac",4543686.78,2016,1,"1","0","0","0",1,0,4543686.78,0,"0","[1,0,0]","apac",118.457194,40.59,NA
"27","2016P01","sales_vol_fchem_apac",4543686.78,2016,1,"1","0","0","0",1,0,4543686.78,0,"0","[1,0,0]","apac",118.457194,16.41,NA
"28","2016P01","sales_vol_fchem_apac",4543686.78,2016,1,"1","0","0","0",1,0,4543686.78,0,"0","[1,0,0]","apac",118.457194,1.13,NA
"29","2016P02","sales_vol_fchem_apac",5007659.05,2016,2,"1","0","0","0",1,0,5007659.05,0,"0","[1,0,0]","apac",114.778466,9.15,NA
"30","2016P02","sales_vol_fchem_apac",5007659.05,2016,2,"1","0","0","0",1,0,5007659.05,0,"0","[1,0,0]","apac",114.778466,40.59,NA
"31","2016P02","sales_vol_fchem_apac",5007659.05,2016,2,"1","0","0","0",1,0,5007659.05,0,"0","[1,0,0]","apac",114.778466,16.41,NA
"32","2016P02","sales_vol_fchem_apac",5007659.05,2016,2,"1","0","0","0",1,0,5007659.05,0,"0","[1,0,0]","apac",114.778466,1.13,NA
"33","2016P03","sales_vol_fchem_apac",7782267.53,2016,3,"1","0","0","0",1,0,7782267.53,0,"0","[1,0,0]","apac",112.976274,9.15,NA
"34","2016P03","sales_vol_fchem_apac",7782267.53,2016,3,"1","0","0","0",1,0,7782267.53,0,"0","[1,0,0]","apac",112.976274,40.59,NA
"35","2016P03","sales_vol_fchem_apac",7782267.53,2016,3,"1","0","0","0",1,0,7782267.53,0,"0","[1,0,0]","apac",112.976274,16.41,NA
"36","2016P03","sales_vol_fchem_apac",7782267.53,2016,3,"1","0","0","0",1,0,7782267.53,0,"0","[1,0,0]","apac",112.976274,1.13,NA
"37","2016P04","sales_vol_fchem_apac",7103839.24,2016,4,"1","0","0","0",1,0,7103839.24,0,"0","[1,0,0]","apac",109.79655,9.15,NA
"38","2016P04","sales_vol_fchem_apac",7103839.24,2016,4,"1","0","0","0",1,0,7103839.24,0,"0","[1,0,0]","apac",109.79655,40.59,NA
"39","2016P04","sales_vol_fchem_apac",7103839.24,2016,4,"1","0","0","0",1,0,7103839.24,0,"0","[1,0,0]","apac",109.79655,16.41,NA
"40","2016P04","sales_vol_fchem_apac",7103839.24,2016,4,"1","0","0","0",1,0,7103839.24,0,"0","[1,0,0]","apac",109.79655,1.13,NA
"41","2016P05","sales_vol_fchem_apac",6442151.76,2016,5,"1","0","0","0",1,0,6442151.76,0,"0","[1,0,0]","apac",108.739032,9.15,NA
"42","2016P05","sales_vol_fchem_apac",6442151.76,2016,5,"1","0","0","0",1,0,6442151.76,0,"0","[1,0,0]","apac",108.739032,40.59,NA
"43","2016P05","sales_vol_fchem_apac",6442151.76,2016,5,"1","0","0","0",1,0,6442151.76,0,"0","[1,0,0]","apac",108.739032,16.41,NA
"44","2016P05","sales_vol_fchem_apac",6442151.76,2016,5,"1","0","0","0",1,0,6442151.76,0,"0","[1,0,0]","apac",108.739032,1.13,NA
"45","2016P06","sales_vol_fchem_apac",6417466.6,2016,6,"1","0","0","0",1,0,6417466.6,0,"0","[1,0,0]","apac",105.513333,9.15,NA
"46","2016P06","sales_vol_fchem_apac",6417466.6,2016,6,"1","0","0","0",1,0,6417466.6,0,"0","[1,0,0]","apac",105.513333,40.59,NA
"47","2016P06","sales_vol_fchem_apac",6417466.6,2016,6,"1","0","0","0",1,0,6417466.6,0,"0","[1,0,0]","apac",105.513333,16.41,NA
"48","2016P06","sales_vol_fchem_apac",6417466.6,2016,6,"1","0","0","0",1,0,6417466.6,0,"0","[1,0,0]","apac",105.513333,1.13,NA
"49","2016P07","sales_vol_fchem_apac",4392223.21,2016,7,"1","0","0","0",1,0,4392223.21,0,"0","[1,0,0]","apac",103.867129,9.15,NA
"50","2016P07","sales_vol_fchem_apac",4392223.21,2016,7,"1","0","0","0",1,0,4392223.21,0,"0","[1,0,0]","apac",103.867129,40.59,NA
"51","2016P07","sales_vol_fchem_apac",4392223.21,2016,7,"1","0","0","0",1,0,4392223.21,0,"0","[1,0,0]","apac",103.867129,16.41,NA
"52","2016P07","sales_vol_fchem_apac",4392223.21,2016,7,"1","0","0","0",1,0,4392223.21,0,"0","[1,0,0]","apac",103.867129,1.13,NA
"53","2016P08","sales_vol_fchem_apac",5520517.54,2016,8,"1","0","0","0",1,0,5520517.54,0,"0","[1,0,0]","apac",101.233242,9.15,NA
"54","2016P08","sales_vol_fchem_apac",5520517.54,2016,8,"1","0","0","0",1,0,5520517.54,0,"0","[1,0,0]","apac",101.233242,40.59,NA
