,fiscal_period,region_product,sales_vol,year,month,apac,emea,la,na,fchem,fpoly,fchem_product,fpoly_product,pfa,region_code,region,value_to_USD,demand,oil_price,GDP,smi_avg,smi_std
1,2015P07,sales_vol_fchem_apac,4397919.46,2015,7,1,0,0,0,1,0,4397919.46,0,0,"[1,0,0]",apac,123.265726,64.37,43.62,21795,660.7954545,12.62464548
2,2015P08,sales_vol_fchem_apac,4812213.4,2015,8,1,0,0,0,1,0,4812213.4,0,0,"[1,0,0]",apac,123.214161,64.37,36.95,21795,619.077619,25.83981422
3,2015P09,sales_vol_fchem_apac,3940076.06,2015,9,1,0,0,0,1,0,3940076.06,0,0,"[1,0,0]",apac,120.1415,64.37,34.3,21795,605.4609524,14.12039869
4,2015P10,sales_vol_fchem_apac,4643721.7,2015,10,1,0,0,0,1,0,4643721.7,0,0,"[1,0,0]",apac,120.136258,64.37,34.7,21795,643.8254545,24.09259454
5,2015P11,sales_vol_fchem_apac,5096386.14,2015,11,1,0,0,0,1,0,5096386.14,0,0,"[1,0,0]",apac,122.555467,64.37,32.13,21795,662.7245,7.805579971
6,2015P12,sales_vol_fchem_apac,5264943.68,2015,12,1,0,0,0,1,0,5264943.68,0,0,"[1,0,0]",apac,121.61779,64.37,26.5,21795,672.4881818,8.935166285
7,2016P01,sales_vol_fchem_apac,4543686.78,2016,1,1,0,0,0,1,0,4543686.78,0,0,"[1,0,0]",apac,118.457194,67.28,19.96,22512,602.9284211,22.58039077
8,2016P02,sales_vol_fchem_apac,5007659.05,2016,2,1,0,0,0,1,0,5007659.05,0,0,"[1,0,0]",apac,114.778466,67.28,21.24,22512,596.7805,20.21874026
9,2016P03,sales_vol_fchem_apac,7782267.53,2016,3,1,0,0,0,1,0,7782267.53,0,0,"[1,0,0]",apac,112.976274,67.28,24.99,22512,658.0522727,13.59173591
10,2016P04,sales_vol_fchem_apac,7103839.24,2016,4,1,0,0,0,1,0,7103839.24,0,0,"[1,0,0]",apac,109.79655,67.28,26.84,22512,671.662381,5.937803386
11,2016P05,sales_vol_fchem_apac,6442151.76,2016,5,1,0,0,0,1,0,6442151.76,0,0,"[1,0,0]",apac,108.739032,67.28,30.39,22512,654.5519048,22.19266334
12,2016P06,sales_vol_fchem_apac,6417466.6,2016,6,1,0,0,0,1,0,6417466.6,0,0,"[1,0,0]",apac,105.513333,67.28,30.74,22512,694.69,14.71820479
13,2016P07,sales_vol_fchem_apac,4392223.21,2016,7,1,0,0,0,1,0,4392223.21,0,0,"[1,0,0]",apac,103.867129,67.28,27.81,22512,725.4515,32.55593571
14,2016P08,sales_vol_fchem_apac,5520517.54,2016,8,1,0,0,0,1,0,5520517.54,0,0,"[1,0,0]",apac,101.233242,67.28,27.85,22512,784.2191304,15.28319722
15,2016P09,sales_vol_fchem_apac,4602663.88,2016,9,1,0,0,0,1,0,4602663.88,0,0,"[1,0,0]",apac,102.099817,67.28,27.8,22512,801.1671429,14.38694309
16,2016P10,sales_vol_fchem_apac,3307710.31,2016,10,1,0,0,0,1,0,3307710.31,0,0,"[1,0,0]",apac,103.673468,67.28,31.98,22512,822.1366667,10.83590344
17,2016P11,sales_vol_fchem_apac,3747003.33,2016,11,1,0,0,0,1,0,3747003.33,0,0,"[1,0,0]",apac,108.52975,67.28,29.83,22512,848.3766667,31.56194185
